Female Hub Genes,,,,Male Hub Genes,,,
Probe,gene,fold_change,color,,gene,fold_change,color
ILMN_2396292,ZNF655,1.075845792,Blue,ILMN_1841019,LINC00347,1.056353282,Blue
ILMN_2128358,TPP2,1.012994,Blue,ILMN_1664094,P2RY13,1.192428427,Blue
ILMN_1745787,POLL,1.007319902,Blue,ILMN_1653718,ZFAND2B,1.031371598,Blue
ILMN_2348093,ATP5J,-1.093007179,Blue,ILMN_1705737,IMPDH2,-1.141227848,Blue
ILMN_1655608,KLHL18,1.000209873,Blue,ILMN_2321648,SH2D3C,1.125153612,Blue
ILMN_1689646,FSD1,1.156025165,Blue,ILMN_2150294,FKBP14,1.043745757,Blue
ILMN_1728168,SLMO2,-1.020722995,Blue,ILMN_1747622,CD33,-1.098108688,Blue
ILMN_1797828,DDRGK1,-1.097433132,Blue,ILMN_1795835,LOC338758,-1.091513967,Blue
ILMN_1799289,MRPL55,1.096426844,Blue,ILMN_1786598,COL14A1,1.083121077,Blue
ILMN_1697493,WDFY3,1.262104895,Blue,ILMN_2308582,CYB5R3,1.005312351,Blue
ILMN_1665058,TCHP,-1.053227268,Turquoise,ILMN_1793894,ANAPC13,-1.016863685,Turquoise
ILMN_1696556,URB2,1.016410082,Turquoise,ILMN_2404385,REPIN1,-1.060034461,Turquoise
ILMN_1812262,DDR1,1.130246627,Turquoise,ILMN_1731783,ATP1A1,-1.123612179,Turquoise
ILMN_2352326,COASY,1.08114355,Turquoise,ILMN_1729611,REEP4,1.023554504,Turquoise
ILMN_1812080,PARP16,1.112873195,Turquoise,ILMN_1656393,PPP2R3A,1.057136569,Turquoise
ILMN_2233050,PLA2G2D,1.05781958,Turquoise,ILMN_1671893,CHMP2A,1.154082243,Turquoise
ILMN_1792276,CCDC149,1.030572971,Turquoise,ILMN_2383097,"RPL17,RPL17-C18ORF32",-1.215784466,Turquoise
ILMN_1786021,PRKAB2,-1.051569323,Turquoise,ILMN_2132599,ANKRD22,1.468621043,Turquoise
ILMN_1680419,ASB7,1.060127204,Turquoise,ILMN_1789508,GTF3C3,-1.143128681,Turquoise
ILMN_1813491,SPTLC1,1.111161173,Turquoise,ILMN_1693789,ALPP,1.06411591,Turquoise
ILMN_1723520,CD1A,-1.023057487,Brown,ILMN_1693862,C8orf82,-1.021337641,Brown
ILMN_2374076,C14orf102,1.014937742,Brown,ILMN_1727023,AMMECR1L,-1.006445436,Brown
ILMN_2341952,MRPL35,-1.085216087,Brown,ILMN_2298365,PPP2R2B,1.083907943,Brown
ILMN_1763447,PLXNB2,-1.280905305,Brown,ILMN_1668721,CCND3,1.407607902,Brown
ILMN_1805737,PFKP,-1.221643175,Brown,ILMN_2357730,CDK20,-1.052925889,Brown
ILMN_2112524,RNF149,1.407478007,Brown,ILMN_1676799,MFAP1,-1.042082313,Brown
ILMN_1710017,CD79B,-1.39648241,Brown,ILMN_1655765,MRPS21,-1.167093219,Brown
ILMN_1674665,CPNE2,1.15851736,Brown,ILMN_1772627,D4S234E,-1.203572711,Brown
ILMN_1692049,SLC7A6OS,-1.002672135,Brown,ILMN_1907834,PLXNA2,1.414026643,Brown
ILMN_2212763,ICAM3,1.306845617,Brown,ILMN_2378316,NUPL1,1.134535227,Brown