"","X","Estimate","Std..Error","t.value","Pr...t..","padj","gene","Chr","male_dir","male_effect","female_dir","female_effect","opp"
"186","ILMN_2096322",-0.0215576849055816,0.00457599708394764,-4.71103554265908,3.88596786211465e-06,0.046468403695167,"ADIPOR1","1","positive",1.12049963668837,"positive",1.15312753983898,0
"1242","ILMN_1775330",-0.0404928536105482,0.0078524905422051,-5.15668925583668,4.76067772111894e-07,0.00570233977435627,"C15orf52","15","positive",1.17242208234579,"positive",1.26111259821604,0
"1245","ILMN_1663484",0.0577057802294334,0.00855587732908825,6.7445777925363,8.77508867951925e-11,1.05222088356115e-06,"C15orf63,SERF2-C15ORF63","15","negative",-1.02690010156761,"negative",-1.03211750117392,0
"2159","ILMN_1699852",0.0638739407104345,0.00735148247387107,8.68857960791688,3.12572068001816e-16,3.74836423947778e-12,"CES4A","16","negative",-1.03007047889569,"positive",1.00399899403671,1
"2163","ILMN_1800837",0.0278961665427368,0.0057424260067098,4.85790613760477,1.97710454471813e-06,0.0236600100866419,"CFDP1","16","negative",-1.03745136173248,"negative",-1.07422240420606,0
"2480","ILMN_1663512",0.0132376255123094,0.00254661661235357,5.1981226573698,3.8876996153361e-07,0.00465707536921111,"COX5B","2","negative",-1.03984733154323,"negative",-1.01338725971307,0
"2494","ILMN_1709440",0.0300318634013455,0.00601779877605025,4.99050641587865,1.05950425429076e-06,0.012684384932369,"CPM","12","positive",1.07498825465206,"positive",1.10033469575272,0
"3041","ILMN_1775304",-0.0345994149644966,0.00664065959822613,-5.21023769592691,3.66325729098358e-07,0.00438858223459833,"DNAJB1","19","positive",1.06784207326819,"positive",1.04203780259713,0
"3086","ILMN_1752455",-0.0277187206780073,0.00539091343866888,-5.14174842415047,5.11989528449203e-07,0.00613158659270766,"DOCK5","8","positive",1.34085282996202,"positive",1.50278827800407,0
"3605","ILMN_1777745",0.06709503898255,0.0109198955200299,6.14429312620073,2.75097141533185e-09,3.29786453269982e-05,"FAM133B","7","negative",-1.03874853220751,"negative",-1.07633153692632,0
"3868","ILMN_1791052",-0.0307459018490668,0.00578582580253497,-5.31400406759498,2.19181851441356e-07,0.00262711367137609,"FKBPL","6","positive",1.04476847879173,"positive",1.07158863367319,0
"3948","ILMN_1797342",0.0152679072553857,0.00292231285254931,5.22459710022719,3.41349043425083e-07,0.00409004423831934,"FNBP1","9","positive",1.00185817389144,"positive",1.03518011794141,0
"4146","ILMN_1701643",-0.020408718392624,0.0043269041443706,-4.71670222211328,3.78709610676321e-06,0.0452898823407812,"GDPD5","11","negative",-1.10564486072912,"negative",-1.27101180218276,0
"4204","ILMN_1739397",-0.026976409408107,0.00537071584125225,-5.02287035945977,9.08081948328911e-07,0.0108742813312387,"GLMN","1","negative",-1.04092270449877,"negative",-1.04601523904321,0
"5495","ILMN_1705390",0.0115137208791043,0.00230516058190004,4.99475870336724,1.03829683585429e-06,0.0124315280156834,"KLHL22","22","negative",-1.08065007629957,"negative",-1.05613110077305,0
"5744","ILMN_1782753",-0.025670559859654,0.00498534039863903,-5.14920904230771,4.9373554289178e-07,0.00591347059721485,"LOC153684","5","negative",-1.09962078101498,"negative",-1.12219902012119,0
"5890","ILMN_1803968",-0.0179210840299705,0.00338954743384816,-5.28716130389852,2.50511206423795e-07,0.00300212629778276,"SSBP3","1","positive",1.05721743083789,"positive",1.03667635366448,0
"5968","ILMN_1776524",0.0328389087732791,0.00660204618368763,4.97405014439578,1.14559586975078e-06,0.0137139281567866,"LOC388692","1","positive",1.08707923119346,"positive",1.09297731691843,0
"5993","ILMN_1653601",0.0122296444771091,0.00231039189270407,5.29332037379841,2.42959312794336e-07,0.00291186736384012,"TLK2","17","positive",1.0518159458477,"positive",1.13222182687273,0
"6619","ILMN_1741599",-0.0652481751106613,0.00969228014848135,-6.73197370598959,9.4548860066465e-11,1.13364083219692e-06,"MEMO1","2","negative",-1.00029497166248,"positive",1.04756604672887,1
"6858","ILMN_2258774",0.0119422578344883,0.00241765650553537,4.93960072787254,1.34827332580655e-06,0.0161374834365786,"MRPL43","10","negative",-1.13003410218161,"negative",-1.2162814561744,0
"7033","ILMN_1675848",0.0814799290317379,0.00820469280645663,9.93089332578275,4.15932579064826e-20,4.98827942072446e-16,"MYL12A","18","positive",1.06313213782969,"positive",1.04452757451004,0
"7644","ILMN_1780546",0.0719811806973965,0.00591044904080546,12.1786314712202,1.14837980518922e-27,1.37736673834395e-23,"OSM","22","positive",1.00813770261531,"positive",1.09448069881719,0
"8183","ILMN_1775823",-0.023857888070879,0.00480721409124053,-4.96293437697142,1.2075372920327e-06,0.0144542213856314,"POFUT2","21","negative",-1.03285861782834,"negative",-1.06757094996148,0
"8679","ILMN_1718303",-0.0312726333354353,0.00624082592239017,-5.01097670794481,9.61120420060393e-07,0.0115084559098031,"PVRL2","19","positive",1.13003503768123,"positive",1.12611744506085,0
"9353","ILMN_1661000",0.0166588471610743,0.00351538627682614,4.73883830943173,3.42359654426248e-06,0.0409496382659235,"RPS6KC1","1","negative",-1.00805575217667,"positive",1.01113113598306,1
"9847","ILMN_1732489",0.0169284464830522,0.00344629055156265,4.91207755984948,1.53471534248318e-06,0.0183674732188387,"SLC10A7","4","negative",-1.04686600112902,"negative",-1.12529794431892,0
"9868","ILMN_1672662",0.0165889855865776,0.0031780404490782,5.21987868071008,3.49368175988897e-07,0.00418578011652298,"SLC20A1","2","negative",-1.1138852475321,"negative",-1.17932841147801,0
"10423","ILMN_1789510",0.0171470894707561,0.00359728066427059,4.76668102132446,3.01394053146246e-06,0.0360557705778854,"STIP1","11","negative",-1.11892548340659,"negative",-1.18525207751151,0
"10566","ILMN_2335072",0.0501419114775566,0.00798913960863346,6.27625926368476,1.31512669041558e-09,1.57670538913924e-05,"TAF1C","16","negative",-1.07786634060705,"negative",-1.0875588634951,0
"10898","ILMN_1738093",-0.0249954272599434,0.00476985305237821,-5.24029293679832,3.15938280443432e-07,0.00378588841455365,"RNFT2","12","negative",-1.05813315647322,"negative",-1.03842430563841,0
"10952","ILMN_1653134",-0.028697973168125,0.00604358226126241,-4.74850377268306,3.27564926224486e-06,0.039183316474973,"TMEM188","16","positive",1.24594493840353,"positive",1.37522902955129,0
"11152","ILMN_1740185",0.0238819362126046,0.00439494045359928,5.43396127086233,1.19895576947104e-07,0.00143718828086494,"TPMT","6","negative",-1.16896730245319,"negative",-1.20397010014668,0
"11379","ILMN_1780769",0.012645565851153,0.00267308953469638,4.73069296296107,3.55325875696885e-06,0.0424969747333474,"TUBB4B","9","positive",1.05580899678036,"positive",1.09366922943034,0
"11584","ILMN_1678690",0.0105963079970701,0.00220993191683498,4.79485721544122,2.64769237161109e-06,0.0316796392263267,"UPB1","22","positive",1.27988913359173,"positive",1.41607169587891,0
"11880","ILMN_1772824",0.0157409359428032,0.00326389186135547,4.822750449908,2.32761998107866e-06,0.0278523006935872,"WNT5B","12","positive",1.11385710145939,"positive",1.19682300221268,0
"12165","ILMN_2103397",0.0108230744619107,0.00226867969231401,4.77064898080497,2.95955454298087e-06,0.0354081105522231,"ZNF234","19","negative",-1.09395037840782,"negative",-1.15531176064733,0
